"North","East","WaterSE","Code","Pt.name","VertPrec"
4099692.206,568499.507,2.078,"echo","1082",0.01175
4099692.406,568499.149,2.1,"echo","1083",0.01089
4099692.656,568498.944,2.153,"echo","1084",0.01228
4099692.863,568498.927,2.143,"echo","1085",0.01233
4099693.615,568498.632,2.153,"echo","1086",0.01237
4099693.944,568497.592,2.118,"echo","1087",0.01241
4099694.844,568496.701,2.122,"echo","1088",0.01245
4099695.701,568495.654,2.13,"echo","1089",0.01248
4099696.704,568494.652,2.137,"echo","1090",0.01251
4099697.483,568493.457,2.134,"echo","1091",0.01254
4099698.186,568492.299,2.14,"echo","1092",0.01257
4099699.227,568491.37,2.142,"echo","1093",0.01261
4099700.155,568490.296,2.145,"echo","1094",0.01263
4099701.264,568489.532,2.147,"echo","1095",0.01265
4099702.393,568488.811,2.136,"echo","1096",0.01118
4099703.488,568487.954,2.158,"echo","1097",0.0112
4099704.595,568487.105,2.145,"echo","1098",0.01121
4099705.55,568486.169,2.144,"echo","1099",0.01122
4099706.716,568485.397,2.15,"echo","1100",0.01124
4099707.627,568484.397,2.139,"echo","1101",0.01125
4099708.737,568483.443,2.157,"echo","1102",0.01126
4099709.598,568482.368,2.15,"echo","1103",0.01126
4099710.725,568481.433,2.148,"echo","1104",0.01127
4099711.627,568480.335,2.144,"echo","1105",0.01127
4099712.576,568479.313,2.149,"echo","1106",0.01127
4099713.386,568478.222,2.137,"echo","1107",0.01128
4099714.326,568477.186,2.154,"echo","1108",0.01129
4099715.271,568476.112,2.14,"echo","1109",0.01129
4099716.112,568474.948,2.166,"echo","1110",0.01192
4099717.102,568473.928,2.148,"echo","1111",0.01201
4099717.934,568472.776,2.151,"echo","1112",0.01209
4099719.024,568471.839,2.128,"echo","1113",0.01215
4099719.99,568470.828,2.144,"echo","1114",0.01124
4099721.105,568469.865,2.143,"echo","1115",0.01124
4099721.887,568468.638,2.144,"echo","1116",0.01149
4099722.845,568467.549,2.148,"echo","1117",0.01127
4099723.675,568466.357,2.129,"echo","1118",0.01128
4099724.688,568465.391,2.146,"echo","1119",0.01128
4099725.658,568464.551,2.116,"echo","1120",0.01167
4099726.333,568463.539,2.134,"echo","1121",0.0113
4099727.225,568462.684,2.123,"echo","1122",0.0113
4099727.958,568461.696,2.148,"echo","1123",0.01131
4099728.916,568460.828,2.137,"echo","1124",0.01132
4099729.79,568459.885,2.155,"echo","1125",0.01132
4099730.555,568459.001,2.136,"echo","1126",0.01133
4099731.221,568458.128,2.136,"echo","1127",0.01133
4099732.097,568457.311,2.139,"echo","1128",0.01133
4099732.979,568456.437,2.138,"echo","1129",0.01133
4099733.742,568455.6,2.134,"echo","1130",0.01134
4099734.518,568454.855,2.139,"echo","1131",0.01135
4099735.433,568454.274,2.136,"echo","1132",0.01135
4099736.24,568453.463,2.151,"echo","1133",0.01135
4099737.282,568452.777,2.144,"echo","1134",0.01177
4099738.293,568452.284,2.14,"echo","1135",0.01201
4099739.128,568451.752,2.155,"echo","1136",0.01209
4099740.263,568451.21,2.136,"echo","1137",0.01165
4099741.087,568450.285,2.142,"echo","1138",0.01166
4099741.832,568449.483,2.139,"echo","1139",0.01275
4099742.446,568448.66,2.153,"echo","1140",0.01126
4099743.321,568447.915,2.136,"echo","1141",0.0117
4099744.218,568447.059,2.119,"echo","1142",0.01364
4099745.232,568446.238,2.143,"echo","1143",0.0113
4099746.058,568445.218,2.132,"echo","1144",0.01283
4099746.774,568444.329,2.141,"echo","1145",0.01284
4099747.371,568443.289,2.134,"echo","1146",0.01285
4099748.007,568442.206,2.128,"echo","1147",0.01286
4099749.034,568441.396,2.136,"echo","1148",0.01287
4099749.91,568440.487,2.132,"echo","1149",0.01288
4099750.724,568439.759,2.129,"echo","1150",0.01289
4099751.694,568439.141,2.132,"echo","1151",0.01289
4099752.443,568438.479,2.164,"echo","1152",0.01177
4099753.216,568437.754,2.138,"echo","1153",0.01291
4099753.898,568436.922,2.131,"echo","1154",0.01291
4099754.942,568436.202,2.121,"echo","1155",0.01291
4099755.728,568435.234,2.141,"echo","1156",0.01293
4099756.789,568434.314,2.146,"echo","1157",0.01294
4099757.497,568433.27,2.145,"echo","1158",0.01294
4099758.392,568432.183,2.148,"echo","1159",0.01295
4099758.915,568431.075,2.126,"echo","1160",0.01327
4099759.15,568429.932,2.123,"echo","1161",0.01296
4099759.341,568428.784,2.127,"echo","1162",0.01295
4099759.729,568427.589,2.118,"echo","1163",0.01295
4099759.91,568426.367,2.121,"echo","1164",0.01297
4099760.266,568423.924,2.122,"echo","1166",0.01297
4099760.298,568422.86,2.137,"echo","1167",0.01297
4099760.29,568421.8,2.134,"echo","1168",0.01297
4099760.281,568420.735,2.145,"echo","1169",0.0126
4099760.431,568419.849,2.149,"echo","1170",0.01298
4099760.507,568418.893,2.186,"echo","1171",0.01179
4099761.219,568418.132,2.167,"echo","1172",0.01142
4099762.089,568417.33,2.158,"echo","1173",0.01261
4099762.695,568416.314,2.165,"echo","1174",0.01291
4099763.176,568415.197,2.159,"echo","1175",0.01318
4099763.629,568414.015,2.164,"echo","1176",0.01343
4099763.846,568412.928,2.161,"echo","1177",0.0137
4099764.256,568411.726,2.157,"echo","1178",0.01475
4099764.519,568410.5,2.173,"echo","1179",0.01494
4099764.241,568409.408,2.165,"echo","1180",0.01566
4099764.072,568408.188,2.168,"echo","1181",0.01626
4099763.507,568407.126,2.148,"echo","1182",0.01421
4099763.203,568405.985,2.158,"echo","1183",0.01443
4099762.627,568405.018,2.165,"echo","1184",0.01615
4099762.242,568403.976,2.16,"echo","1185",0.01639
4099761.934,568402.91,2.148,"echo","1186",0.01754
4099761.785,568400.818,2.164,"echo","1188",0.01694
4099761.198,568399.102,2.157,"echo","1190",0.01726
4099761.069,568398.009,2.17,"echo","1191",0.01739
4099760.464,568397.058,2.148,"echo","1192",0.01752
4099759.977,568396.227,2.161,"echo","1193",0.01764
4099759.367,568395.49,2.158,"echo","1194",0.01846
4099758.955,568394.532,2.135,"echo","1195",0.01219
4099758.311,568393.65,2.118,"echo","1196",0.01271
4099757.83,568392.699,2.121,"echo","1197",0.01222
4099757.19,568391.78,2.124,"echo","1198",0.01199
4099756.618,568390.872,2.126,"echo","1199",0.01201
