"Pt.name","North","East","BedSE","WaterSE","Depth","Code","VertPrec"
"3467",4099718,568616.823,4.157,2.117,1.77,"echo",0.00832
"3468",4099719.509,568617.355,3.089,2.129,0.69,"echo",0.00831
"3469",4099720.734,568617.964,3.206,2.126,0.81,"echo",0.0083
"3470",4099721.856,568618.93,3.186,2.126,0.79,"echo",0.00829
"3471",4099723.23,568619.777,3.281,2.111,0.9,"echo",0.00828
"3472",4099724.522,568620.88,3.273,2.123,0.88,"echo",0.00827
"3473",4099725.726,568622.097,3.285,2.115,0.9,"echo",0.00827
"3474",4099726.875,568623.346,3.214,2.124,0.82,"echo",0.00827
"3475",4099727.841,568624.719,3.06,2.12,0.67,"echo",0.00827
"3476",4099728.711,568626.099,3.019,2.119,0.63,"echo",0.00826
"3477",4099729.695,568627.364,3.767,2.117,1.38,"echo",0.00825
"3478",4099730.652,568628.661,3.866,2.126,1.47,"echo",0.00825
"3479",4099731.528,568629.971,3.644,2.114,1.26,"echo",0.00825
"3480",4099732.766,568631.109,3.773,2.113,1.39,"echo",0.00824
"3481",4099733.829,568632.505,3.806,2.116,1.42,"echo",0.00825
"3482",4099734.983,568633.64,3.741,2.121,1.35,"echo",0.00824
"3483",4099735.916,568634.981,3.826,2.116,1.44,"echo",0.00823
"3484",4099736.95,568636.327,3.852,2.112,1.47,"echo",0.00823
"3485",4099737.62,568637.894,3.699,2.129,1.3,"echo",0.00822
"3486",4099738.152,568639.413,3.877,2.107,1.5,"echo",0.00821
"3487",4099738.674,568640.949,3.95,2.12,1.56,"echo",0.0082
"3488",4099739.442,568642.295,3.693,2.123,1.3,"echo",0.0082
"3489",4099739.879,568643.937,4.011,2.121,1.62,"echo",0.00819
"3490",4099740.338,568645.405,4.05,2.12,1.66,"echo",0.00819
"3491",4099740.959,568646.712,3.866,2.126,1.47,"echo",0.00818
"3492",4099741.296,568648.284,4.015,2.125,1.62,"echo",0.00818
"3493",4099741.598,568649.855,3.652,2.112,1.27,"echo",0.0083
"3494",4099741.975,568651.198,3.906,2.126,1.51,"echo",0.00818
"3495",4099742.503,568652.468,3.925,2.115,1.54,"echo",0.00817
"3496",4099743.003,568653.771,3.798,2.118,1.41,"echo",0.00817
"3497",4099743.533,568654.792,4.016,2.116,1.63,"echo",0.00816
"3498",4099743.931,568655.787,4.07,2.11,1.69,"echo",0.00815
"3499",4099743.734,568656.777,3.525,2.115,1.14,"echo",0.00815
"3500",4099743.993,568657.6,3.581,2.111,1.2,"echo",0.00815
"3501",4099743.47,568658.563,3.608,2.108,1.23,"echo",0.00815
"3502",4099742.502,568658.742,3.441,2.111,1.06,"echo",0.00825
"3503",4099741.638,568658.239,3.94,2.1,1.57,"echo",0.00814
"3504",4099740.457,568657.566,3.786,2.096,1.42,"echo",0.00814
"3505",4099739.554,568657.252,3.053,2.113,0.67,"echo",0.00815
"3506",4099739.111,568656.7,3.114,2.124,0.72,"echo",0.00815
"3507",4099738.823,568656.331,3.052,2.122,0.66,"echo",0.00814
"3508",4099738.82,568656.279,3.084,2.114,0.7,"echo",0.00827
"3509",4099739.752,568656.447,3.019,2.119,0.63,"echo",0.00814
"3510",4099740.623,568655.672,2.982,2.112,0.6,"echo",0.00814
"3511",4099742.149,568655.31,3.565,2.115,1.18,"echo",0.00813
"3512",4099743.772,568654.816,3.084,2.124,0.69,"echo",0.0082
"3513",4099745.25,568654.125,3.979,2.119,1.59,"echo",0.00812
"3514",4099746.484,568653.178,3.093,2.103,0.72,"echo",0.00812
