"North","East","BedSE","Code","Pt.name","VertPrec"
4099684.946,568551.266,3.736,"rock","250",NA
4099685.836,568552.719,3.458,"rock","251",NA
4099686.884,568556.046,3.16,"topo","252",NA
4099680.711,568553.114,1.775,"topo","256",NA
4099678.923,568552.123,1.802,"topo","257",NA
4099676.698,568552.484,1.896,"topo","258",NA
4099675.651,568555.883,1.761,"topo","259",NA
4099677.958,568555.888,1.835,"topo","260",NA
4099681.196,568556.323,1.929,"topo","261",NA
4099683.864,568557.948,1.8,"topo","262",NA
4099682.512,568560.996,1.815,"topo","263",NA
4099681.744,568563.154,1.794,"topo","264",NA
4099684.261,568564.158,1.778,"topo","265",NA
4099687.221,568562.642,1.952,"topo","266",NA
4099689.022,568564.44,1.843,"topo","267",NA
4099686.622,568566.953,1.788,"topo","268",NA
4099683.813,568569.702,1.934,"topo","269",NA
4099681.663,568572.481,1.96,"topo","270",NA
4099681.117,568576.324,1.825,"topo","271",NA
4099684.627,568575.587,1.931,"topo","272",NA
4099687.36,568574.05,1.946,"topo","273",NA
4099691.091,568570.924,1.768,"topo","274",NA
4099693.203,568573.465,1.787,"topo","275",NA
4099695.88,568574.466,1.765,"topo","276",NA
4099696.616,568578.068,1.799,"topo","277",NA
4099693.993,568581.306,1.89,"topo","278",NA
4099692.74,568584.073,1.682,"topo","279",NA
4099697.286,568583.059,1.88,"topo","280",NA
4099700.385,568581.582,1.79,"topo","281",NA
4099702.439,568583.824,1.793,"topo","282",NA
4099700.585,568587.203,1.801,"topo","283",NA
4099702.318,568588.782,1.756,"topo","284",NA
4099705.298,568587.004,1.787,"topo","285",NA
4099707.982,568589.685,1.797,"topo","286",NA
4099708.151,568592.777,1.708,"topo","287",NA
4099710.935,568593.203,1.763,"topo","288",NA
4099712.683,568590.708,1.796,"topo","289",NA
4099715.846,568590.409,1.865,"topo","290",NA
4099717.035,568592.601,1.763,"topo","291",NA
4099716.635,568593.93,1.652,"topo","292",NA
4099712.279,568595.1,1.707,"topo","293",NA
4099713.584,568596.576,1.68,"topo","294",NA
4099715.235,568598.119,1.687,"topo","295",NA
4099715.887,568600.217,1.628,"topo","296",NA
4099717.976,568600.714,1.677,"topo","297",NA
4099719.569,568600.803,1.675,"topo","298",NA
4099723.387,568598.125,2.919,"topo","300",NA
4099725.788,568596.036,3.097,"topo","301",NA
4099720.891,568595.793,2.947,"topo","302",NA
4099726.294,568598.53,3.03,"topo","305",NA
4099728.622,568602.347,3.086,"topo","306",NA
4099732.094,568602.821,3.253,"topo","307",NA
4099735.747,568604.848,3.183,"topo","308",NA
4099727.952,568605.674,2.994,"topo","309",NA
4099730.638,568608.845,3.109,"topo","313",NA
4099734.268,568607.339,3.165,"topo","314",NA
4099736.675,568608.373,3.42,"topo","315",NA
4099735.593,568611.211,3.203,"topo","316",NA
4099735.767,568613.667,3.166,"topo","317",NA
4099736.904,568614.312,3.224,"topo","320",NA
4099738.789,568613.044,3.353,"topo","321",NA
4099740.848,568614.275,3.581,"topo","322",NA
4099741.583,568612.611,4.073,"levee","323",NA
4099739.273,568609.482,3.925,"levee","324",NA
4099744.069,568615.279,4.314,"levee","325",NA
4099747.022,568618.386,4.393,"levee","326",NA
4099744.625,568617.553,3.747,"topo","327",NA
4099741.84,568616.14,3.455,"topo","328",NA
4099737.92,568615.573,3.209,"topo","329",NA
4099738.578,568617.555,3.058,"topo","330",NA
4099740.141,568618.447,3.068,"topo","333",NA
4099743.59,568619.536,3.23,"topo","334",NA
4099742.353,568621.564,3.082,"topo","335",NA
4099745.121,568623.564,3.112,"topo","337",NA
4099746.328,568622.114,3.34,"topo","338",NA
4099748.405,568622.666,3.569,"topo","339",NA
4099748.259,568625.592,3.323,"topo","340",NA
4099746.236,568626.689,3.038,"topo","341",NA
4099748.243,568628.643,3.152,"topo","343",NA
4099749.97,568626.942,3.396,"topo","344",NA
4099752.294,568629.977,3.424,"topo","345",NA
4099750.993,568631.772,3.128,"topo","346",NA
4099754.508,568633.995,3.343,"topo","348",NA
4099755.393,568636.469,3.132,"topo","349",NA
4099756.885,568636.322,3.401,"topo","351",NA
4099759.331,568637,3.784,"topo","352",NA
4099759.311,568640.831,3.132,"topo","353",NA
4099761.691,568643.008,3.247,"topo","355",NA
4099763.639,568641.423,3.758,"topo","356",NA
4099763.219,568644.725,3.324,"topo","357",NA
4099765.475,568644.147,3.732,"topo","358",NA
4099767.906,568642.838,4.762,"levee","359",NA
4099766.593,568646.746,3.773,"topo","360",NA
4099767.004,568648.656,3.168,"topo","361",NA
4099768.748,568650.966,3.069,"topo","362",NA
4099769.726,568652.15,3.01,"topo","363",NA
4099771.44,568653.836,3.071,"topo","364",NA
4099773.236,568655.531,3.095,"topo","365",NA
4099775.24,568656.69,3.219,"topo","366",NA
4099777.76,568658.806,3.244,"topo","367",NA
4099778.996,568660.158,3.074,"topo","368",NA
4099775.809,568660.778,2.856,"topo","369",NA
4099763.267,568654.767,1.988,"topo","370",NA
4099761.37,568654.546,1.961,"topo","371",NA
4099761.281,568652.79,1.819,"topo","372",NA
4099764.199,568656.473,2.287,"topo","373",NA
4099761.826,568656.937,2.333,"topo","374",NA
4099761,568657.972,2.106,"topo","375",NA
4099763.291,568658.358,2.264,"topo","376",NA
4099766.163,568659.037,2.244,"topo","377",NA
4099766.333,568661.76,2.283,"topo","378",NA
4099763.905,568662.049,2.324,"topo","379",NA
4099760.796,568662.995,2.273,"topo","380",NA
4099759.411,568664.426,2.102,"topo","381",NA
4099759.071,568667.132,2.096,"topo","382",NA
4099761.583,568666.486,2.241,"topo","383",NA
4099764.45,568665.09,2.297,"topo","384",NA
4099767.162,568665.113,2.289,"topo","385",NA
4099767.303,568667.396,2.098,"topo","386",NA
4099765.41,568668.753,2.465,"topo","387",NA
4099762.242,568669.84,2.287,"topo","388",NA
4099758.665,568671.393,2.016,"topo","389",NA
