Pt name,North,East,Elevation,Code
182,4099623.977,568535.18,4.224,topo
183,4099626.069,568536.35,4.043,topo
184,4099628.869,568537.514,3.18,topo
185,4099629.848,568539.716,2.876,topo
186,4099627.582,568542.195,3.813,topo
187,4099625.185,568545.653,3.908,topo
188,4099629.611,568546.182,3.721,topo
189,4099632.273,568547.169,2.985,topo
190,4099631.477,568549.393,3.594,topo
191,4099628.226,568553.328,3.655,topo
192,4099630.307,568557.451,3.582,topo
193,4099634.335,568556.236,3.484,topo
194,4099636.491,568556.096,3.336,topo
195,4099638.161,568556.184,2.819,topo
196,4099639.563,568559,3.01,topo
197,4099636.649,568560.533,3.38,topo
198,4099639.669,568561.458,3.373,rock
199,4099641.468,568561.934,3.741,rock
200,4099640.916,568563.213,4.377,rock
201,4099642.546,568565.056,4.7,rock
202,4099643.632,568564.914,3.489,rock
203,4099645.486,568561.546,1.969,topo
204,4099642.636,568559.485,2.363,topo
205,4099640.742,568556.09,2.066,topo
206,4099638.532,568553.008,2.115,topo
207,4099636.82,568550.22,2.076,topo
208,4099635.458,568548.36,2.133,topo
209,4099634.025,568545.788,2.048,topo
210,4099632.748,568543.428,2.05,topo
211,4099631.838,568539.956,2.006,topo
212,4099633.874,568539.923,2.11,topo
213,4099636.701,568541.76,2.222,topo
214,4099638.959,568542.936,2.226,topo
215,4099639.957,568541.446,2.602,topo
216,4099641.843,568543.074,2.095,topo
217,4099644.075,568542.39,1.884,topo
218,4099645.382,568540.934,1.852,topo
219,4099644.958,568539.171,2.387,topo
220,4099647.803,568539.009,1.72,topo
221,4099647.898,568537.136,2.18,topo
222,4099649.321,568535.114,2.469,topo
223,4099650.637,568536.4,1.763,topo
224,4099652.596,568534.986,1.848,topo
225,4099654.419,568533.93,2.318,topo
226,4099656.405,568534.965,2.033,topo
227,4099658.552,568533.657,2.468,topo
228,4099659.763,568535.283,1.991,topo
229,4099659.757,568537.375,1.858,topo
230,4099662.196,568535.875,1.966,topo
231,4099664.016,568533.093,2.068,topo
232,4099664.354,568529.496,2.068,topo
233,4099666.346,568530.497,1.952,topo
234,4099668.458,568533.559,2.135,topo
235,4099670.544,568535.588,2.342,topo
236,4099666.473,568538.043,2.012,topo
237,4099666.972,568540.511,1.777,topo
238,4099668.988,568539.191,2.132,topo
239,4099670.895,568537.879,2.412,topo
240,4099671.492,568533.928,2.693,wse
241,4099672.292,568536.335,2.688,wse
242,4099672.461,568538.229,2.704,wse
243,4099672.375,568539.627,2.661,wse
244,4099673.61,568536.562,3.645,rock
245,4099674.424,568535.698,3.871,rock
246,4099673.728,568533.998,3.698,rock
247,4099672.152,568533.507,3.341,rock
248,4099680.955,568548.992,3.034,rock
249,4099682.634,568549.685,3.423,rock
250,4099684.946,568551.266,3.736,rock
251,4099685.836,568552.719,3.458,rock
252,4099686.884,568556.046,3.16,topo
253,4099685.648,568556.285,2.659,wse
254,4099684.309,568554.66,2.672,wse
255,4099682.466,568552.19,2.668,wse
256,4099680.711,568553.114,1.775,topo
257,4099678.923,568552.123,1.802,topo
258,4099676.698,568552.484,1.896,topo
259,4099675.651,568555.883,1.761,topo
260,4099677.958,568555.888,1.835,topo
261,4099681.196,568556.323,1.929,topo
262,4099683.864,568557.948,1.8,topo
263,4099682.512,568560.996,1.815,topo
264,4099681.744,568563.154,1.794,topo
265,4099684.261,568564.158,1.778,topo
266,4099687.221,568562.642,1.952,topo
267,4099689.022,568564.44,1.843,topo
268,4099686.622,568566.953,1.788,topo
269,4099683.813,568569.702,1.934,topo
270,4099681.663,568572.481,1.96,topo
271,4099681.117,568576.324,1.825,topo
272,4099684.627,568575.587,1.931,topo
273,4099687.36,568574.05,1.946,topo
274,4099691.091,568570.924,1.768,topo
275,4099693.203,568573.465,1.787,topo
276,4099695.88,568574.466,1.765,topo
277,4099696.616,568578.068,1.799,topo
278,4099693.993,568581.306,1.89,topo
279,4099692.74,568584.073,1.682,topo
280,4099697.286,568583.059,1.88,topo
281,4099700.385,568581.582,1.79,topo
282,4099702.439,568583.824,1.793,topo
283,4099700.585,568587.203,1.801,topo
284,4099702.318,568588.782,1.756,topo
285,4099705.298,568587.004,1.787,topo
286,4099707.982,568589.685,1.797,topo
287,4099708.151,568592.777,1.708,topo
288,4099710.935,568593.203,1.763,topo
289,4099712.683,568590.708,1.796,topo
290,4099715.846,568590.409,1.865,topo
291,4099717.035,568592.601,1.763,topo
292,4099716.635,568593.93,1.652,topo
293,4099712.279,568595.1,1.707,topo
294,4099713.584,568596.576,1.68,topo
295,4099715.235,568598.119,1.687,topo
296,4099715.887,568600.217,1.628,topo
297,4099717.976,568600.714,1.677,topo
298,4099719.569,568600.803,1.675,topo
299,4099720.329,568599.789,2.678,wse
300,4099723.387,568598.125,2.919,topo
301,4099725.788,568596.036,3.097,topo
302,4099720.891,568595.793,2.947,topo
303,4099720.344,568594.847,2.685,wse
304,4099717.865,568597.028,2.676,wse
305,4099726.294,568598.53,3.03,topo
306,4099728.622,568602.347,3.086,topo
307,4099732.094,568602.821,3.253,topo
308,4099735.747,568604.848,3.183,topo
309,4099727.952,568605.674,2.994,topo
310,4099726.381,568605.708,2.669,wse
311,4099728.098,568608.288,2.719,wse
312,4099730.728,568610.121,2.671,wse
313,4099730.638,568608.845,3.109,topo
314,4099734.268,568607.339,3.165,topo
315,4099736.675,568608.373,3.42,topo
316,4099735.593,568611.211,3.203,topo
317,4099735.767,568613.667,3.166,topo
318,4099734.35,568612.703,2.682,wse
319,4099736.213,568615.225,2.696,wse
320,4099736.904,568614.312,3.224,topo
321,4099738.789,568613.044,3.353,topo
322,4099740.848,568614.275,3.581,topo
323,4099741.583,568612.611,4.073,levee
324,4099739.273,568609.482,3.925,levee
325,4099744.069,568615.279,4.314,levee
326,4099747.022,568618.386,4.393,levee
327,4099744.625,568617.553,3.747,topo
328,4099741.84,568616.14,3.455,topo
329,4099737.92,568615.573,3.209,topo
330,4099738.578,568617.555,3.058,topo
331,4099737.236,568616.425,2.673,wse
332,4099740.32,568619.756,2.638,wse
333,4099740.141,568618.447,3.068,topo
334,4099743.59,568619.536,3.23,topo
335,4099742.353,568621.564,3.082,topo
336,4099743.366,568623.345,2.664,wse
337,4099745.121,568623.564,3.112,topo
338,4099746.328,568622.114,3.34,topo
339,4099748.405,568622.666,3.569,topo
340,4099748.259,568625.592,3.323,topo
341,4099746.236,568626.689,3.038,topo
342,4099747.642,568629.007,2.682,wse
343,4099748.243,568628.643,3.152,topo
344,4099749.97,568626.942,3.396,topo
345,4099752.294,568629.977,3.424,topo
346,4099750.993,568631.772,3.128,topo
347,4099751.497,568633.146,2.657,wse
348,4099754.508,568633.995,3.343,topo
349,4099755.393,568636.469,3.132,topo
350,4099755.555,568636.901,2.684,wse
351,4099756.885,568636.322,3.401,topo
352,4099759.331,568637,3.784,topo
353,4099759.311,568640.831,3.132,topo
354,4099759.942,568642.683,2.716,wse
355,4099761.691,568643.008,3.247,topo
356,4099763.639,568641.423,3.758,topo
357,4099763.219,568644.725,3.324,topo
358,4099765.475,568644.147,3.732,topo
359,4099767.906,568642.838,4.762,levee
360,4099766.593,568646.746,3.773,topo
361,4099767.004,568648.656,3.168,topo
362,4099768.748,568650.966,3.069,topo
363,4099769.726,568652.15,3.01,topo
364,4099771.44,568653.836,3.071,topo
365,4099773.236,568655.531,3.095,topo
366,4099775.24,568656.69,3.219,topo
367,4099777.76,568658.806,3.244,topo
368,4099778.996,568660.158,3.074,topo
369,4099775.809,568660.778,2.856,topo
370,4099763.267,568654.767,1.988,topo
371,4099761.37,568654.546,1.961,topo
372,4099761.281,568652.79,1.819,topo
373,4099764.199,568656.473,2.287,topo
374,4099761.826,568656.937,2.333,topo
375,4099761,568657.972,2.106,topo
376,4099763.291,568658.358,2.264,topo
377,4099766.163,568659.037,2.244,topo
378,4099766.333,568661.76,2.283,topo
379,4099763.905,568662.049,2.324,topo
380,4099760.796,568662.995,2.273,topo
381,4099759.411,568664.426,2.102,topo
382,4099759.071,568667.132,2.096,topo
383,4099761.583,568666.486,2.241,topo
384,4099764.45,568665.09,2.297,topo
385,4099767.162,568665.113,2.289,topo
386,4099767.303,568667.396,2.098,topo
387,4099765.41,568668.753,2.465,topo
388,4099762.242,568669.84,2.287,topo
389,4099758.665,568671.393,2.016,topo
390,4099759.063,568673.727,1.86,topo
391,4099761.174,568673.678,2.236,topo
392,4099764.436,568673.147,2.388,topo
393,4099768.235,568672.825,2.314,topo
394,4099770.091,568673.879,2.207,topo
395,4099769.505,568676.562,2.201,topo
396,4099766.437,568676.312,2.4,topo
397,4099762.713,568677.135,2.262,topo
398,4099760.185,568679.474,1.962,topo
399,4099761.151,568682.438,2.02,topo
400,4099763.39,568681.592,2.25,topo
401,4099765.94,568680.932,2.361,topo
402,4099769.397,568681.457,2.264,topo
403,4099768.078,568683.418,2.32,topo
404,4099764.787,568683.803,2.241,topo
405,4099761.929,568684.21,2.051,topo
406,4099761.44,568686.184,1.829,topo
407,4099763.92,568686.083,2.172,topo
408,4099766.67,568685.995,2.255,topo
409,4099769.538,568686.783,2.304,topo
410,4099769.019,568689.026,2.309,topo
411,4099766.171,568690.33,2.17,topo
412,4099764.052,568691.958,1.888,topo
413,4099764.824,568693.568,1.942,topo
414,4099767.332,568693.282,2.171,topo
415,4099770.953,568694.599,2.381,topo
416,4099769.469,568696.113,2.203,topo
417,4099767.088,568697.359,1.969,topo
418,4099766.775,568699.348,1.85,topo
419,4099769.3,568699.112,2.175,topo
420,4099772.593,568700.028,2.36,topo
421,4099771.852,568701.622,2.192,topo
422,4099769.56,568702.398,2.05,topo
423,4099767.755,568703.843,1.739,topo
424,4099768.422,568705.475,1.814,topo
425,4099770.149,568704.714,2.067,topo
426,4099772.317,568704.432,2.226,topo
427,4099774.03,568705.207,2.195,topo
428,4099771.443,568706.832,1.988,topo
429,4099769.303,568708.342,1.849,topo
430,4099770.33,568710.385,1.903,topo
431,4099772.698,568709.02,2.045,topo
432,4099775.343,568707.493,2.076,topo
433,4099776.859,568709.242,2.023,topo
434,4099774.485,568711.426,2.082,topo
435,4099772.952,568712.793,2.184,topo
436,4099772.168,568713.947,1.75,topo
437,4099772.747,568715.583,1.827,topo
438,4099773.575,568714.745,2.207,topo
439,4099776.471,568713.99,2.116,topo
440,4099778.296,568712.891,2.042,topo
441,4099778.562,568710.542,2.203,topo
442,4099780.13,568709.374,2.656,wse
443,4099779.823,568713.036,1.971,topo
444,4099777.728,568714.683,2.123,topo
445,4099775.858,568716.734,2.207,topo
446,4099774.595,568718.619,1.921,topo
447,4099775.788,568720.535,1.98,topo
448,4099777.5,568719.333,2.193,topo
449,4099779.588,568717.497,2.178,topo
450,4099782.512,568717.443,2.13,topo
451,4099783.424,568719.82,2.158,topo
452,4099780.797,568720.632,2.201,topo
453,4099778.149,568722.038,2.121,topo
454,4099777.723,568723.659,1.971,topo
455,4099777.943,568725.186,1.968,topo
456,4099779.33,568724.722,1.998,topo
457,4099781.185,568723.716,2.193,topo
458,4099783.533,568722.519,2.187,topo
459,4099785.698,568721.672,2.146,topo
460,4099787.115,568720.557,2.085,topo
461,4099787.72,568723.552,2.145,topo
462,4099785.723,568725.685,2.238,topo
463,4099783.848,568728.14,2.114,topo
464,4099782.01,568730.337,1.986,topo
465,4099781.645,568732.011,1.842,topo
466,4099784.117,568731.737,2.049,topo
467,4099786.825,568730.093,2.205,topo
468,4099789.663,568728.537,2.29,topo
469,4099791.624,568726.721,2.13,topo
470,4099792.208,568724.953,2.001,topo
471,4099793.977,568727.578,2.189,topo
472,4099792.136,568730.271,2.31,topo
473,4099790.354,568733.042,2.228,topo
474,4099788.631,568736.383,2.053,topo
475,4099787.945,568738.598,1.838,topo
476,4099790.336,568739.48,1.984,topo
477,4099791.971,568736.868,2.17,topo
478,4099793.634,568734.63,2.299,topo
479,4099795.598,568732.285,2.308,topo
480,4099798.217,568730.64,2.143,topo
481,4099799.927,568730.617,2.124,topo
482,4099798.908,568733.993,2.301,topo
483,4099796.973,568737.184,2.29,topo
484,4099794.918,568740.014,2.113,topo
485,4099793.686,568742.86,1.902,topo
486,4099795.048,568744.423,1.8,topo
487,4099796.636,568742.613,2.078,topo
488,4099798.664,568740.538,2.202,topo
489,4099801.05,568737.471,2.315,topo
490,4099803.337,568734.414,2.115,topo
491,4099803.722,568731.108,2.068,topo
492,4099804.063,568730.192,2.704,wse
493,4099804.411,568734.246,2.097,topo
494,4099802.642,568737.364,2.287,topo
495,4099800.543,568740.781,2.23,topo
496,4099799.039,568744.214,2.033,topo
497,4099799.429,568746.909,1.897,topo
498,4099802.133,568745.263,2.072,topo
499,4099804.741,568743.078,2.21,topo
500,4099807.07,568741.087,2.241,topo
501,4099809.313,568739.166,2.141,topo
502,4099811.852,568738.611,2.137,topo
503,4099810.662,568741.184,2.169,topo
504,4099809.545,568743.732,2.209,topo
505,4099808.565,568746.243,2.114,topo
506,4099807.031,568749.037,2.008,topo
507,4099805.876,568751.647,1.861,topo
508,4099805.523,568752.899,1.727,topo
509,4099807.966,568753.511,1.848,topo
510,4099809.25,568751.433,1.942,topo
511,4099811.572,568748.284,2.1,topo
512,4099813.392,568745.528,2.188,topo
513,4099816.167,568743.627,2.085,topo
514,4099816.545,568745.638,2.105,topo
515,4099815.709,568748.758,2.12,topo
516,4099814.76,568751.465,2.008,topo
517,4099813.609,568754.412,1.896,topo
518,4099814.237,568757.049,1.86,topo
519,4099816.677,568757.744,1.878,topo
520,4099818.065,568754.951,1.966,topo
521,4099819.835,568751.935,2.039,topo
522,4099820.723,568749.104,2.123,topo
523,4099820.851,568746.685,2.005,topo
524,4099821.138,568744.441,2.15,topo
525,4099821.657,568742.723,2.7,wse
526,4099821.803,568746.777,1.984,topo
527,4099821.604,568751.111,2.063,topo
528,4099821.358,568755.167,1.981,topo
529,4099819.295,568758.191,1.882,topo
530,4099820.333,568760.613,1.641,topo
531,4099822.241,568759.15,1.931,topo
532,4099822.936,568756.753,1.949,topo
533,4099825.222,568754.915,1.981,topo
534,4099824.703,568751.346,2.069,topo
535,4099827.559,568750.489,1.976,topo
536,4099826.818,568748.014,2.084,topo
537,4099828.222,568746.943,2.692,wse
538,4099828.288,568748.152,2.1,topo
539,4099828.78,568749.511,2.097,topo
540,4099827.148,568752.374,2.01,topo
541,4099825.904,568756.018,2.005,topo
542,4099824.389,568759.244,1.96,topo
543,4099824.105,568761.911,1.712,topo
544,4099826.872,568762.568,1.869,topo
545,4099828.092,568759.576,1.922,topo
546,4099829.588,568756.075,2.018,topo
547,4099831.601,568754.312,1.949,topo
548,4099831.056,568751.028,2.059,topo
549,4099833.763,568751.578,2.122,topo
550,4099833.748,568749.056,2.722,wse
551,4099832.27,568754.363,1.962,topo
552,4099831.258,568758.064,1.973,topo
553,4099830.48,568761.454,1.936,topo
554,4099830.007,568764.124,1.863,topo
555,4099831.943,568765.127,1.755,topo
556,4099833.445,568762.931,1.942,topo
557,4099835.027,568760.292,1.968,topo
558,4099837.187,568758.201,1.941,topo
559,4099839.22,568756.054,2.03,topo
560,4099842.023,568756.224,1.871,topo
561,4099840.769,568760.022,1.981,topo
562,4099839.68,568763.443,1.989,topo
563,4099838.761,568766.349,1.935,topo
564,4099839.892,568768.481,1.814,topo
565,4099841.912,568768.993,1.8,topo
566,4099843.137,568765.902,1.955,topo
567,4099845.184,568762.514,1.949,topo
568,4099847.317,568758.765,1.892,topo
569,4099849.4,568759.854,1.884,topo
570,4099848.493,568763.337,1.926,topo
571,4099847.651,568766.611,1.975,topo
572,4099847.379,568769.723,1.881,topo
573,4099844.894,568770.843,1.665,topo
574,4099844.136,568773.022,1.764,topo
575,4099845.505,568771.574,1.76,topo
576,4099847.315,568768.876,1.998,topo
577,4099849.016,568765.552,1.93,topo
578,4099851.266,568762.227,1.903,topo
579,4099852.875,568757.978,2.688,wse
580,4099849.675,568757.081,2.127,topo
581,4099850.336,568756.895,2.701,wse
582,4099852.17,568761.508,1.903,topo
583,4099852.193,568764.737,1.927,topo
584,4099852.239,568768.44,2.002,topo
585,4099850.658,568770.857,1.828,topo
586,4099850.434,568773.448,2.07,topo
587,4099852.019,568776.167,1.731,topo
588,4099853.39,568773.927,2.029,topo
589,4099854.973,568771.025,2.048,topo
590,4099857.03,568767.541,1.943,topo
591,4099859.126,568764.696,1.872,topo
592,4099861.536,568762.631,1.901,topo
593,4099861.34,568761.606,2.667,wse
594,4099861.961,568765.048,1.931,topo
595,4099861.182,568768.066,1.925,topo
596,4099860.142,568772.016,2.088,topo
597,4099859.411,568775.745,1.791,topo
598,4099858.694,568777.92,2.043,topo
599,4099858.171,568780.583,1.781,topo
600,4099860.705,568777.167,1.903,topo
601,4099862.076,568774.856,2.094,topo
602,4099863.896,568771.577,2.036,topo
603,4099866.414,568767.568,1.827,topo
604,4099868.531,568767.995,1.842,topo
605,4099867.775,568770.242,1.992,topo
606,4099866.402,568773.667,2.088,topo
607,4099865.288,568777.357,2.039,topo
608,4099867.397,568781.265,1.931,topo
609,4099868.415,568779.039,2.039,topo
610,4099869.968,568775.474,2.102,topo
611,4099871.326,568772.861,2.025,topo
612,4099872.915,568769.684,1.899,topo
613,4099875.439,568781.514,2.061,topo
614,4099876.785,568780.013,2.072,topo
615,4099877.769,568777.745,2.052,topo
616,4099879.208,568775.235,1.997,topo
617,4099880.244,568772.876,1.949,topo
618,4099880.532,568770.001,1.928,topo
619,4099882.179,568770.896,1.88,topo
620,4099881.836,568774.31,1.994,topo
621,4099880.824,568777.763,2.004,topo
622,4099879.337,568781.955,2.06,topo
623,4099879.454,568783.99,2.025,topo
624,4099882.394,568784.723,1.969,topo
625,4099882.045,568781.791,2.076,topo
626,4099881.629,568778.424,2.028,topo
627,4099882.485,568775.149,1.992,topo
628,4099883.637,568772.124,1.922,topo
629,4099886.21,568771.425,1.921,topo
630,4099889.347,568770.213,2.668,wse
631,4099889.392,568772.773,1.854,topo
632,4099886.858,568774.128,1.995,topo
633,4099885.317,568778.988,1.994,topo
634,4099883.862,568783.543,2.012,topo
635,4099884.141,568786.211,1.963,topo
636,4099886.19,568787.911,1.866,topo
637,4099887.447,568784.437,2.068,topo
638,4099889.104,568780.821,1.987,topo
639,4099890.458,568777.147,1.996,topo
640,4099893.245,568775.032,1.895,topo
641,4099893.295,568776.523,1.968,topo
642,4099892.065,568779.956,1.985,topo
643,4099890.898,568782.865,1.962,topo
644,4099889.63,568785.788,2.091,topo
645,4099889.206,568788.934,1.874,topo
646,4099889.659,568790.951,1.861,topo
647,4099893.924,568789.937,2.182,topo
648,4099895.782,568790.286,2.228,topo
649,4099893.782,568787.195,2.078,topo
650,4099894.373,568783.984,1.974,topo
651,4099896.107,568780.673,1.994,topo
652,4099898.378,568776.652,2.039,topo
653,4099898.388,568780.256,1.843,topo
654,4099898.283,568783.493,2.038,topo
655,4099899.139,568786.413,1.99,topo
656,4099899.561,568788.816,1.877,topo
657,4099903.338,568790.125,2.006,topo
658,4099904.863,568786.711,2.046,topo
659,4099907.867,568785.596,2.026,topo
660,4099906.889,568789.571,2.064,topo
661,4099907.184,568792.177,2.031,topo
662,4099910.523,568793.353,2,topo
663,4099911.578,568791.282,1.967,topo
664,4099912.651,568789.208,1.799,topo
665,4099916.109,568788.812,2.02,topo
666,4099918.921,568786.476,2.319,topo
667,4099921.97,568787.066,2.198,topo
668,4099920.658,568790.293,2.134,topo
669,4099921.426,568793.738,1.818,topo
670,4099924.125,568793.961,1.865,topo
671,4099925.159,568791.254,2.172,topo
672,4099925.043,568787.538,2.286,topo
673,4099927.126,568786.333,2.697,wse
674,4099929.235,568787.714,2.343,topo
675,4099928.897,568790.913,2.087,topo
676,4099929.288,568794.332,1.88,topo
677,4099931.517,568797.054,1.935,topo
678,4099933.434,568798.921,2.064,topo
679,4099934.146,568795.84,1.972,topo
680,4099935.736,568791.333,1.968,topo
681,4099937.466,568794.18,1.943,topo
682,4099938.266,568797.355,2.072,topo
683,4099939.972,568801.179,2.045,topo
684,4099942.161,568799.373,2.15,topo
685,4099944.445,568802.772,2.216,topo
686,4099944.263,568798.885,2.131,topo
687,4099943.461,568794.98,2.017,topo
688,4099943.155,568791.717,1.937,topo
689,4099946.555,568791.445,1.855,topo
690,4099947.324,568795.003,2.072,topo
691,4099950.113,568799.268,2.082,topo
692,4099951.502,568795.443,2.144,topo
693,4099951.92,568790.419,1.862,topo
694,4099955.808,568791.743,2.017,topo
695,4099956.474,568795.958,2.145,topo
696,4099956.27,568800.729,2.161,topo
697,4099959.958,568799.397,2.174,topo
698,4099960.145,568796.062,2.105,topo
699,4099960.266,568791.71,1.956,topo
